"latitude","longitude","name"
"7.360556","125.706389","Carmen, Philippines"
"7.31752","126.543045","Caracol coastal community in Caraga Davao Oriental"
"7.548506","126.137675","Compostela Valley, Philippines"
"8.364372","124.615116","Cagayan de Oro River"
"8.450129","124.632142","Cagayan De Oro river"
"8.483333","124.65","Cagayan de Oro, Philippines"
"8.443219","124.313822","Cagayan De Oro City, 40 km west"
"8.45952","124.668131","Cagayan De Oro City"
"8.477805","124.644647","Cagayan de Oro"
"8.441979","124.398683","Cagayan De Oro"
"8.428277","124.302836","40km West of Cagayan De Oro"
"8.462236","124.651651","Cagayan De Oro"
"8.367141","124.635172","Cagayan de Oro"
"8.355337","124.440755","Iligan City and Cagayan de Oro, Philippines"
"10.326108","123.877795","Buena Hills Sitio San Isidro Guadalupe Cebu"
"8.312371","124.697163","Bubunawan Hydropower Plant, Baungon, Philippines"
"8.312529","124.698491","Bubunawan Bridge"
"9.102529","123.202499","Zamboanguita, Philippines"
"9.650491","124.365347","Jagna, Philippines"
"9.059081","123.378847","Negros Oriental, Philippines"
"10.453579","123.041455","Banica River, Philippines"
"7.571995","126.564149","Baganga, Philippines"
"10.677499","122.951476","Bacolod"
"9.360662","123.285725","Sibulan National High School, Sibulan 6201, Philippines"
"8.454236","124.631898","Cagayan de Oro, Philippines"
"8.847809","123.49534","30km Southeast of Dumaguete City"
"8.49613","123.303406","Mindanao, Philippines"
"10.058834","123.201456","1st Dist. area"
"8.235955","124.463321","Rogongon"
"8.476506","124.640694","river near Cagayan de Oro city hall"
"6.340601","125.074625","Region 12"
"14.650633","121.051253","Quezon City, Philippines"
"10.24685","123.834666","Poblacion and Central Biasong in Talisay"
"9.878217","126.043188","PHILIPPINES,Siargao Island,Socorro Island"
"14.58164","121.026163","Manila, Philippines"
"14.597588","121.031656","Manila, Philippines"
"14.602904","121.042643","Manila, Philippines"
"12.413158","121.899576","Philipines"
"9.176042","123.60795","Bohol Siquijor, Visayas"
"12.413158","121.899576","PAGASA"
"7.839234","123.434778","Pagadian City"
"8.145563","123.843281","Ozamiz CityMis"
"8.145574","123.841751","Ozamiz"
"9.359407","123.284937","Ocoy River in Sibulan"
"7.313433","124.815468","north cotabato"
"9.709007","122.98879","NEGROS ORIENTAL"
"6.914839","122.073796","Naga Zamboanga Sibugay"
